"ID","rodada","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"6126","1","14/04/2018","16:00","Cruzeiro","Gremio","4-2-3-1","4-2-3-1","L. Venker de Menezes","Renato Gaúcho","Gremio"," Mineirão","0","1","MG","RS"
"6127","1","14/04/2018","19:02","Vitoria","Flamengo","4-2-3-1","4-1-4-1","V. Carmo Mancini","M. Nogueira Barbieri","-"," Barradão","2","2","BA","RJ"
"6128","1","14/04/2018","21:03","Santos","Ceara","4-3-3","4-1-4-1","J. Ribeiro Ventura","M. Oliveira Chamusca","Santos","Estádio Municipal Paulo Machado de Carvalho","2","0","SP","CE"
"6129","1","15/04/2018","11:00","America-MG","Sport","4-1-4-1","4-3-2-1","E. Alves Moreira","N. Baptista Júnior","America-MG","Estádio Raimundo Sampaio","3","0","MG","PE"
"6130","1","15/04/2018","16:01","Vasco","Atletico-MG","4-1-4-1","4-1-4-1","J. Mannarino","T. Mendes Larghi","Vasco","Estádio Vasco da Gama","2","1","RJ","MG"
"6131","1","15/04/2018","16:02","Internacional","Bahia","4-2-3-1","4-2-3-1","O. Hellmann","A. Ferreira","Internacional","Estádio José Pinheiro Borda","2","0","RS","BA"
"6132","1","15/04/2018","16:02","Corinthians","Fluminense","4-2-4-0","5-4-1","F. Carille","A. da Silva Braga","Corinthians","Neo Química Arena","2","1","SP","RJ"
"6133","1","15/04/2018","19:01","Athletico-PR","Chapecoense","3-4-2-1","5-4-1","F. Diniz Silva","G. Kleina","Athletico-PR","Estádio Joaquim Américo Guimarães","5","1","PR","SC"
"6134","1","16/04/2018","19:59","Sao Paulo","Parana","4-2-3-1","4-1-4-1","D. Aguirre Camblor","Ademir Fesan","Sao Paulo"," Morumbi","1","0","SP","PR"
"6135","1","16/04/2018","20:00","Botafogo-RJ","Palmeiras","4-1-4-1","4-2-3-1","A. Valentim do Carmo Neto","R. Machado Marques","-","Estádio Nilton Santos","1","1","RJ","SP"
"6136","2","21/04/2018","16:02","Bahia","Santos","4-2-3-1","4-2-3-1","A. Ferreira","J. Ribeiro Ventura","Bahia","Itaipava Arena Fonte Nova","1","0","BA","SP"
"6137","2","21/04/2018","19:00","Flamengo","America-MG","4-1-4-1","4-2-3-1","M. Nogueira Barbieri","E. Alves Moreira","Flamengo"," Maracanã","2","0","RJ","MG"
"6138","2","22/04/2018","11:00","Parana","Corinthians","4-2-3-1","4-2-4-0","Ademir Fesan","F. Carille","Corinthians","Vila Capanema","0","4","PR","SP"
"6139","2","22/04/2018","16:00","Ceara","Sao Paulo","3-4-2-1","4-1-4-1","M. Oliveira Chamusca","D. Aguirre Camblor","-","Arena Castelão","0","0","CE","SP"
"6140","2","22/04/2018","16:00","Atletico-MG","Vitoria","4-2-3-1","4-2-3-1","T. Mendes Larghi","V. Carmo Mancini","Atletico-MG","Estádio Raimundo Sampaio","2","1","MG","BA"
"6141","2","22/04/2018","16:00","Fluminense","Cruzeiro","3-4-1-2","4-4-2","A. da Silva Braga","L. Venker de Menezes","Fluminense"," Maracanã","1","0","RJ","MG"
"6142","2","22/04/2018","16:01","Chapecoense","Vasco","4-2-3-1","4-2-3-1","G. Kleina","J. Mannarino","-","Arena Condá","1","1","SC","RJ"
"6143","2","22/04/2018","16:01","Palmeiras","Internacional","4-2-3-1","4-2-3-1","R. Machado Marques","O. Hellmann","Palmeiras","Estádio Municipal Paulo Machado de Carvalho","1","0","SP","RS"
"6144","2","22/04/2018","19:02","Gremio","Athletico-PR","4-2-3-1","3-4-3","Renato Gaúcho","F. Diniz Silva","-","Arena do Grêmio","0","0","RS","PR"
"6145","2","23/04/2018","20:00","Sport","Botafogo-RJ","4-2-3-1","4-1-4-1","N. Baptista Júnior","A. Valentim do Carmo Neto","-","Adelmar da Costa Carvalho","1","1","PE","RJ"
"6146","3","28/04/2018","16:01","Botafogo-RJ","Gremio","4-1-4-1","4-2-3-1","A. Valentim do Carmo Neto","Renato Gaúcho","Botafogo-RJ","Estádio Nilton Santos","2","1","RJ","RS"
"6149","3","29/04/2018","15:59","Palmeiras","Chapecoense","4-2-3-1","4-1-4-1","R. Machado Marques","G. Kleina","-","Allianz Parque","0","0","SP","SC"
"6151","3","29/04/2018","16:00","Atletico-MG","Corinthians","4-1-4-1","4-2-4-0","T. Mendes Larghi","F. Carille","Atletico-MG","Estádio Raimundo Sampaio","1","0","MG","SP"
"6152","3","29/04/2018","16:00","Fluminense","Sao Paulo","3-4-2-1","4-4-1-1","A. da Silva Braga","D. Aguirre Camblor","-"," Maracanã","1","1","RJ","SP"
"6147","3","29/04/2018","16:01","Bahia","Athletico-PR","4-2-3-1","3-4-2-1","A. Ferreira","F. Diniz Silva","-","Itaipava Arena Fonte Nova","0","0","BA","PR"
"6148","3","29/04/2018","16:01","Ceara","Flamengo","3-4-2-1","4-3-3","M. Oliveira Chamusca","M. Nogueira Barbieri","Flamengo","Arena Castelão","0","3","CE","RJ"
"6150","3","29/04/2018","16:01","Parana","Sport","4-2-3-1","4-2-3-1","Ademir Fesan","C. dos Santos Oliveira","Sport","Vila Capanema","1","2","PR","PE"
"6153","3","29/04/2018","19:00","Internacional","Cruzeiro","4-2-3-1","4-4-2","O. Hellmann","L. Venker de Menezes","-","Estádio José Pinheiro Borda","0","0","RS","MG"
"6154","3","30/04/2018","20:02","America-MG","Vitoria","4-2-3-1","4-2-3-1","E. Alves Moreira","V. Carmo Mancini","America-MG","Estádio Raimundo Sampaio","2","1","MG","BA"
"6156","4","05/05/2018","19:00","Vasco","America-MG","4-2-3-1","4-2-3-1","J. Mannarino","E. Alves Moreira","Vasco","Estádio Vasco da Gama","4","1","RJ","MG"
"6157","4","05/05/2018","19:01","Sao Paulo","Atletico-MG","3-4-3","4-2-3-1","D. Aguirre Camblor","T. Mendes Larghi","-"," Morumbi","2","2","SP","MG"
"6158","4","06/05/2018","11:03","Corinthians","Ceara","4-2-3-1","4-2-3-1","F. Carille","M. Oliveira Chamusca","-","Neo Química Arena","1","1","SP","CE"
"6159","4","06/05/2018","16:00","Flamengo","Internacional","4-1-4-1","4-1-4-1","M. Nogueira Barbieri","O. Hellmann","Flamengo"," Maracanã","2","0","RJ","RS"
"6160","4","06/05/2018","16:00","Cruzeiro","Botafogo-RJ","4-2-3-1","4-1-4-1","L. Venker de Menezes","A. Valentim do Carmo Neto","Cruzeiro"," Mineirão","1","0","MG","RJ"
"6161","4","06/05/2018","16:00","Athletico-PR","Palmeiras","3-4-2-1","4-2-3-1","F. Diniz Silva","R. Machado Marques","Palmeiras","Estádio Joaquim Américo Guimarães","1","3","PR","SP"
"6162","4","06/05/2018","16:01","Vitoria","Fluminense","4-2-3-1","3-1-4-2","V. Carmo Mancini","A. da Silva Braga","Fluminense"," Barradão","1","2","BA","RJ"
"6163","4","06/05/2018","19:00","Gremio","Santos","4-2-3-1","4-3-3","Renato Gaúcho","J. Ribeiro Ventura","Gremio","Arena do Grêmio","5","1","RS","SP"
"6164","4","06/05/2018","19:01","Sport","Bahia","4-1-4-1","4-2-3-1","C. dos Santos Oliveira","A. Ferreira","Sport","Adelmar da Costa Carvalho","2","0","PE","BA"
"6165","4","07/05/2018","20:01","Chapecoense","Parana","4-2-3-1","4-2-3-1","G. Kleina","Ademir Fesan","-","Arena Condá","1","1","SC","PR"
"6166","5","12/05/2018","16:01","Gremio","Internacional","4-2-3-1","4-3-3","Renato Gaúcho","O. Hellmann","-","Arena do Grêmio","0","0","RS","RS"
"6167","5","13/05/2018","11:01","Cruzeiro","Sport","4-2-3-1","4-1-4-1","L. Venker de Menezes","C. dos Santos Oliveira","Cruzeiro"," Mineirão","2","0","MG","PE"
"6169","5","13/05/2018","16:00","Vasco","Vitoria","4-2-3-1","4-2-3-1","J. Mannarino","V. Carmo Mancini","Vitoria","Estádio Vasco da Gama","2","3","RJ","BA"
"6170","5","13/05/2018","16:01","Corinthians","Palmeiras","4-2-4-0","4-2-3-1","F. Carille","R. Machado Marques","Corinthians","Neo Química Arena","1","0","SP","SP"
"6171","5","13/05/2018","16:01","Bahia","Sao Paulo","4-2-3-1","4-1-4-1","A. Ferreira","D. Aguirre Camblor","-","Itaipava Arena Fonte Nova","2","2","BA","SP"
"6172","5","13/05/2018","16:01","Chapecoense","Flamengo","4-1-4-1","4-1-4-1","G. Kleina","M. Nogueira Barbieri","Chapecoense","Arena Condá","3","2","SC","RJ"
"6168","5","13/05/2018","16:03","Athletico-PR","Atletico-MG","3-4-2-1","4-2-3-1","F. Diniz Silva","T. Mendes Larghi","Atletico-MG","Estádio Joaquim Américo Guimarães","1","2","PR","MG"
"6173","5","13/05/2018","19:00","Santos","Parana","4-1-4-1","4-2-3-1","J. Ribeiro Ventura","Ademir Fesan","Santos","Estádio Urbano Caldeira","3","1","SP","PR"
"6175","5","14/05/2018","20:00","Ceara","America-MG","4-2-3-1","4-2-3-1","M. Oliveira Chamusca","E. Alves Moreira","-","Arena Castelão","2","2","CE","MG"
"6174","5","14/05/2018","20:02","Botafogo-RJ","Fluminense","4-2-3-1","3-4-2-1","A. Valentim do Carmo Neto","A. da Silva Braga","Botafogo-RJ","Estádio Nilton Santos","2","1","RJ","RJ"
"6176","6","19/05/2018","16:00","Atletico-MG","Cruzeiro","4-2-3-1","4-4-2","T. Mendes Larghi","L. Venker de Menezes","Atletico-MG","Estádio Raimundo Sampaio","1","0","MG","MG"
"6177","6","19/05/2018","19:01","Flamengo","Vasco","4-1-4-1","4-2-3-1","M. Nogueira Barbieri","J. Mannarino","-"," Maracanã","1","1","RJ","RJ"
"6178","6","19/05/2018","21:00","Palmeiras","Bahia","4-2-3-1","4-2-3-1","R. Machado Marques","A. Ferreira","Palmeiras","Allianz Parque","3","0","SP","BA"
"6179","6","20/05/2018","11:02","Vitoria","Ceara","4-2-3-1","4-2-3-1","V. Carmo Mancini","M. Oliveira Chamusca","Vitoria"," Barradão","2","1","BA","CE"
"6181","6","20/05/2018","16:00","America-MG","Botafogo-RJ","4-2-3-1","4-1-4-1","E. Alves Moreira","A. Valentim do Carmo Neto","America-MG","Estádio Raimundo Sampaio","1","0","MG","RJ"
"6182","6","20/05/2018","16:00","Parana","Gremio","4-1-4-1","4-2-3-1","Ademir Fesan","Renato Gaúcho","-","Vila Capanema","0","0","PR","RS"
"6183","6","20/05/2018","16:00","Sport","Corinthians","4-2-3-1","4-2-3-1","C. dos Santos Oliveira","F. Carille","-","Arena de Pernambuco","1","1","PE","SP"
"6180","6","20/05/2018","16:01","Sao Paulo","Santos","4-2-3-1","4-2-3-1","D. Aguirre Camblor","J. Ribeiro Ventura","Sao Paulo"," Morumbi","1","0","SP","SP"
"6184","6","20/05/2018","19:00","Fluminense","Athletico-PR","5-4-1","3-4-2-1","A. da Silva Braga","F. Diniz Silva","Fluminense"," Maracanã","2","0","RJ","PR"
"6185","6","21/05/2018","20:00","Internacional","Chapecoense","4-2-3-1","4-1-4-1","O. Hellmann","G. Kleina","Internacional","Estádio José Pinheiro Borda","3","0","RS","SC"
"6186","7","26/05/2018","16:00","Fluminense","Chapecoense","3-4-3","4-1-4-1","A. da Silva Braga","G. Kleina","Fluminense"," Maracanã","3","1","RJ","SC"
"6187","7","26/05/2018","19:00","Palmeiras","Sport","4-2-3-1","4-1-4-1","R. Machado Marques","C. dos Santos Oliveira","Sport","Allianz Parque","2","3","SP","PE"
"6188","7","26/05/2018","21:00","Atletico-MG","Flamengo","4-2-3-1","4-1-4-1","T. Mendes Larghi","M. Nogueira Barbieri","Flamengo","Estádio Raimundo Sampaio","0","1","MG","RJ"
"6189","7","27/05/2018","11:00","Parana","Athletico-PR","4-1-4-1","3-4-2-1","Ademir Fesan","F. Diniz Silva","-","Vila Capanema","0","0","PR","PR"
"6190","7","27/05/2018","16:00","Internacional","Corinthians","4-2-3-1","4-2-3-1","O. Hellmann","O. Loss","Internacional","Estádio José Pinheiro Borda","2","1","RS","SP"
"6191","7","27/05/2018","16:00","Bahia","Vasco","4-2-3-1","4-2-3-1","A. Ferreira","J. Mannarino","Bahia","Itaipava Arena Fonte Nova","3","0","BA","RJ"
"6193","7","27/05/2018","16:01","Botafogo-RJ","Vitoria","4-3-2-1","4-2-3-1","A. Valentim do Carmo Neto","V. Carmo Mancini","-","Estádio Nilton Santos","1","1","RJ","BA"
"6192","7","27/05/2018","16:03","Santos","Cruzeiro","4-3-3","4-2-3-1","J. Ribeiro Ventura","L. Venker de Menezes","Cruzeiro","Estádio Municipal Paulo Machado de Carvalho","0","1","SP","MG"
"6194","7","27/05/2018","18:59","Ceara","Gremio","4-2-3-1","4-2-3-1","J. de Amorim Campos","Renato Gaúcho","Gremio","Arena Castelão","0","1","CE","RS"
"6195","7","27/05/2018","19:00","America-MG","Sao Paulo","4-2-3-1","4-4-1-1","E. Alves Moreira","D. Aguirre Camblor","Sao Paulo","Estádio Raimundo Sampaio","1","3","MG","SP"
"6197","8","30/05/2018","10:13","Vitoria","Internacional","4-2-3-1","4-2-3-1","V. Carmo Mancini","O. Hellmann","Internacional"," Barradão","2","3","BA","RS"
"6196","8","30/05/2018","19:29","Vasco","Parana","4-4-2","4-1-4-1","J. Mannarino","Ademir Fesan","Vasco","Estádio Vasco da Gama","1","0","RJ","PR"
"6198","8","30/05/2018","19:30","Sport","Atletico-MG","4-2-3-1","4-1-4-1","C. dos Santos Oliveira","T. Mendes Larghi","Sport","Adelmar da Costa Carvalho","3","2","PE","MG"
"6199","8","30/05/2018","21:00","Chapecoense","Ceara","4-1-4-1","4-1-4-1","G. Kleina","J. de Amorim Campos","Chapecoense","Arena Condá","2","0","SC","CE"
"6200","8","30/05/2018","21:00","Sao Paulo","Botafogo-RJ","4-2-3-1","4-2-3-1","D. Aguirre Camblor","A. Valentim do Carmo Neto","Sao Paulo"," Morumbi","3","2","SP","RJ"
"6201","8","30/05/2018","21:45","Gremio","Fluminense","4-2-3-1","5-4-1","Renato Gaúcho","A. da Silva Braga","-","Arena do Grêmio","0","0","RS","RJ"
"6202","8","30/05/2018","21:47","Cruzeiro","Palmeiras","4-2-3-1","4-2-3-1","L. Venker de Menezes","R. Machado Marques","Cruzeiro"," Mineirão","1","0","MG","SP"
"6203","8","31/05/2018","16:00","Flamengo","Bahia","4-1-4-1","4-2-4-0","M. Nogueira Barbieri","A. Ferreira","Flamengo"," Maracanã","2","0","RJ","BA"
"6204","8","31/05/2018","18:00","Corinthians","America-MG","4-2-4-0","4-2-3-1","O. Loss","E. Alves Moreira","Corinthians","Neo Química Arena","1","0","SP","MG"
"6205","8","31/05/2018","21:00","Athletico-PR","Santos","3-4-2-1","4-3-3","F. Diniz Silva","J. Ribeiro Ventura","Athletico-PR","Estádio Joaquim Américo Guimarães","2","0","PR","SP"
"6206","9","02/06/2018","15:59","Internacional","Sport","4-2-3-1","4-2-3-1","O. Hellmann","C. dos Santos Oliveira","-","Estádio José Pinheiro Borda","0","0","RS","PE"
"6207","9","02/06/2018","16:00","Atletico-MG","Chapecoense","4-1-4-1","4-2-3-1","T. Mendes Larghi","G. Kleina","-","Estádio Raimundo Sampaio","3","3","MG","SC"
"6208","9","02/06/2018","18:59","Vasco","Botafogo-RJ","4-2-3-1","4-2-3-1","J. Mannarino","A. Valentim do Carmo Neto","Botafogo-RJ","Estádio Vasco da Gama","1","2","RJ","RJ"
"6209","9","02/06/2018","21:00","Palmeiras","Sao Paulo","4-2-3-1","4-2-3-1","R. Machado Marques","D. Aguirre Camblor","Palmeiras","Allianz Parque","3","1","SP","SP"
"6210","9","03/06/2018","16:00","Flamengo","Corinthians","4-1-4-1","4-2-4-0","M. Nogueira Barbieri","O. Loss","Flamengo"," Maracanã","1","0","RJ","SP"
"6212","9","03/06/2018","16:00","America-MG","Athletico-PR","4-2-3-1","3-4-2-1","E. Alves Moreira","F. Diniz Silva","America-MG","Estádio Raimundo Sampaio","3","1","MG","PR"
"6213","9","03/06/2018","16:00","Santos","Vitoria","4-3-3","4-2-3-1","J. Ribeiro Ventura","V. Carmo Mancini","Santos","Estádio Urbano Caldeira","5","2","SP","BA"
"6211","9","03/06/2018","16:01","Bahia","Gremio","4-2-3-1","4-2-3-1","A. Ferreira","Renato Gaúcho","Gremio","Itaipava Arena Fonte Nova","0","2","BA","RS"
"6214","9","03/06/2018","18:59","Ceara","Cruzeiro","4-2-3-1","4-2-3-1","J. de Amorim Campos","L. Venker de Menezes","Cruzeiro","Arena Castelão","0","1","CE","MG"
"6215","9","04/06/2018","20:01","Parana","Fluminense","4-2-3-1","3-4-1-2","Ademir Fesan","A. da Silva Braga","Parana","Vila Capanema","2","1","PR","RJ"
"6216","10","05/06/2018","21:30","Sao Paulo","Internacional","4-1-4-1","4-2-3-1","D. Aguirre Camblor","O. Hellmann","-"," Morumbi","0","0","SP","RS"
"6218","10","06/06/2018","19:29","Botafogo-RJ","Ceara","4-2-3-1","3-4-1-2","A. Valentim do Carmo Neto","L. Cirne Lima de Lorenzi","-","Estádio Nilton Santos","0","0","RJ","CE"
"6217","10","06/06/2018","19:31","Vitoria","Chapecoense","4-2-3-1","4-2-3-1","V. Carmo Mancini","G. Kleina","Vitoria"," Barradão","1","0","BA","SC"
"6220","10","06/06/2018","21:00","Sport","Athletico-PR","4-2-3-1","3-4-3","C. dos Santos Oliveira","F. Diniz Silva","Sport","Adelmar da Costa Carvalho","1","0","PE","PR"
"6219","10","06/06/2018","21:01","Corinthians","Santos","4-3-3","4-3-3","O. Loss","J. Ribeiro Ventura","-","Neo Química Arena","1","1","SP","SP"
"6221","10","06/06/2018","21:45","Gremio","Palmeiras","4-2-3-1","4-2-3-1","Renato Gaúcho","R. Machado Marques","Palmeiras","Arena do Grêmio","0","2","RS","SP"
"6222","10","06/06/2018","21:45","Cruzeiro","Vasco","4-2-3-1","4-2-3-1","L. Venker de Menezes","V. de Morais Filho","-"," Mineirão","1","1","MG","RJ"
"6223","10","07/06/2018","20:00","Parana","Bahia","4-2-3-1","4-1-4-1","Ademir Fesan","C. Prates","Parana","Vila Capanema","1","0","PR","BA"
"6224","10","07/06/2018","20:00","Fluminense","Flamengo","5-4-1","4-1-4-1","A. da Silva Braga","M. Nogueira Barbieri","Flamengo","Estádio Nacional de Brasília","0","2","RJ","RJ"
"6225","10","07/06/2018","20:59","America-MG","Atletico-MG","4-2-3-1","4-2-3-1","E. Alves Moreira","T. Mendes Larghi","Atletico-MG","Estádio Raimundo Sampaio","1","3","MG","MG"
"6226","11","09/06/2018","16:01","Athletico-PR","Sao Paulo","3-4-2-1","4-4-1-1","F. Diniz Silva","D. Aguirre Camblor","Sao Paulo","Estádio Joaquim Américo Guimarães","0","1","PR","SP"
"6228","11","09/06/2018","19:00","Vasco","Sport","4-2-3-1","4-2-3-1","J. de Amorim Campos","C. dos Santos Oliveira","Vasco","Estádio Vasco da Gama","3","2","RJ","PE"
"6227","11","09/06/2018","20:18","Chapecoense","Cruzeiro","4-1-4-1","4-2-3-1","G. Kleina","L. Venker de Menezes","Chapecoense","Arena Condá","2","0","SC","MG"
"6229","11","09/06/2018","21:01","Corinthians","Vitoria","4-2-3-1","4-2-3-1","O. Loss","V. Carmo Mancini","-","Neo Química Arena","0","0","SP","BA"
"6232","11","10/06/2018","15:59","Gremio","America-MG","4-2-3-1","4-2-3-1","Renato Gaúcho","E. Alves Moreira","Gremio","Arena do Grêmio","1","0","RS","MG"
"6230","11","10/06/2018","16:00","Atletico-MG","Fluminense","4-2-3-1","3-4-2-1","T. Mendes Larghi","A. da Silva Braga","Atletico-MG","Estádio Raimundo Sampaio","5","2","MG","RJ"
"6231","11","10/06/2018","16:00","Bahia","Botafogo-RJ","4-2-3-1","4-2-3-1","C. Prates","A. Valentim do Carmo Neto","-","Itaipava Arena Fonte Nova","3","3","BA","RJ"
"6233","11","10/06/2018","16:00","Ceara","Palmeiras","4-5-1","4-2-3-1","L. Cirne Lima de Lorenzi","R. Machado Marques","-","Arena Castelão","2","2","CE","SP"
"6235","11","10/06/2018","18:59","Santos","Internacional","4-3-3","4-2-3-1","J. Ribeiro Ventura","O. Hellmann","Internacional","Estádio Urbano Caldeira","1","2","SP","RS"
"6234","11","10/06/2018","19:00","Flamengo","Parana","4-1-4-1","4-1-4-1","M. Nogueira Barbieri","Ademir Fesan","Flamengo"," Maracanã","2","0","RJ","PR"
"6236","12","12/06/2018","21:31","Sao Paulo","Vitoria","4-2-3-1","4-2-3-1","D. Aguirre Camblor","V. Carmo Mancini","Sao Paulo"," Morumbi","3","0","SP","BA"
"6237","12","13/06/2018","16:01","America-MG","Chapecoense","4-2-3-1","4-1-4-1","E. Alves Moreira","G. Kleina","-","Estádio Raimundo Sampaio","0","0","MG","SC"
"6238","12","13/06/2018","19:00","Fluminense","Santos","5-4-1","4-4-2","A. da Silva Braga","J. Ribeiro Ventura","Santos"," Maracanã","0","1","RJ","SP"
"6239","12","13/06/2018","19:31","Sport","Gremio","4-2-3-1","4-2-3-1","C. dos Santos Oliveira","Renato Gaúcho","-","Adelmar da Costa Carvalho","0","0","PE","RS"
"6240","12","13/06/2018","19:31","Parana","Cruzeiro","4-1-4-1","4-4-2","Ademir Fesan","L. Venker de Menezes","-","Vila Capanema","1","1","PR","MG"
"6241","12","13/06/2018","20:59","Palmeiras","Flamengo","4-2-3-1","4-1-4-1","R. Machado Marques","M. Nogueira Barbieri","-","Allianz Parque","1","1","SP","RJ"
"6242","12","13/06/2018","21:00","Botafogo-RJ","Athletico-PR","4-2-3-1","3-4-2-1","A. Valentim do Carmo Neto","F. Diniz Silva","Botafogo-RJ","Estádio Nilton Santos","2","0","RJ","PR"
"6243","12","13/06/2018","21:44","Bahia","Corinthians","4-2-3-1","4-2-3-1","C. Prates","O. Loss","Bahia","Itaipava Arena Fonte Nova","1","0","BA","SP"
"6244","12","13/06/2018","21:44","Internacional","Vasco","4-2-2-2","4-2-3-1","O. Hellmann","J. de Amorim Campos","Internacional","Estádio José Pinheiro Borda","3","1","RS","RJ"
"6245","12","13/06/2018","21:45","Atletico-MG","Ceara","4-1-4-1","5-4-1","T. Mendes Larghi","L. Cirne Lima de Lorenzi","Atletico-MG","Estádio Raimundo Sampaio","2","1","MG","CE"
"6246","13","18/07/2018","19:33","Ceara","Sport","4-2-3-1","4-2-3-1","L. Cirne Lima de Lorenzi","C. dos Santos Oliveira","Ceara","Estádio Presidente Vargas","1","0","CE","PE"
"6247","13","18/07/2018","21:00","Vitoria","Parana","4-2-3-1","4-1-4-1","V. Carmo Mancini","Ademir Fesan","Vitoria"," Barradão","1","0","BA","PR"
"6249","13","18/07/2018","21:45","Gremio","Atletico-MG","4-2-3-1","4-2-3-1","Renato Gaúcho","T. Mendes Larghi","Gremio","Arena do Grêmio","2","0","RS","MG"
"6248","13","18/07/2018","21:46","Corinthians","Botafogo-RJ","4-2-3-1","4-2-3-1","O. Loss","M. Dias de Castro","Corinthians","Neo Química Arena","2","0","SP","RJ"
"6250","13","18/07/2018","21:46","Flamengo","Sao Paulo","4-3-3","4-4-1-1","M. Nogueira Barbieri","D. Aguirre Camblor","Sao Paulo"," Maracanã","0","1","RJ","SP"
"6251","13","19/07/2018","19:30","Chapecoense","Bahia","4-1-4-1","4-2-3-1","G. Kleina","E. Alves Moreira","-","Arena Condá","1","1","SC","BA"
"6252","13","19/07/2018","19:31","Cruzeiro","America-MG","4-2-3-1","4-2-3-1","L. Venker de Menezes","S. Drubscky de Campos","Cruzeiro"," Mineirão","3","1","MG","MG"
"6253","13","19/07/2018","20:01","Vasco","Fluminense","4-2-3-1","4-2-3-1","J. de Amorim Campos","M. de Oliveira Santos","-","Estádio Vasco da Gama","1","1","RJ","RJ"
"6254","13","19/07/2018","20:01","Santos","Palmeiras","4-2-3-1","4-2-3-1","J. Ribeiro Ventura","R. Machado Marques","-","Estádio Municipal Paulo Machado de Carvalho","1","1","SP","SP"
"6255","13","19/07/2018","20:59","Athletico-PR","Internacional","4-2-3-1","4-3-3","T. Retzalff Nunes","O. Hellmann","-","Estádio Joaquim Américo Guimarães","2","2","PR","RS"
"6256","14","21/07/2018","19:00","Flamengo","Botafogo-RJ","4-3-3","4-3-3","M. Nogueira Barbieri","M. Dias de Castro","Flamengo"," Maracanã","2","0","RJ","RJ"
"6257","14","21/07/2018","21:02","Sao Paulo","Corinthians","4-2-3-1","4-2-3-1","D. Aguirre Camblor","O. Loss","Sao Paulo"," Morumbi","3","1","SP","SP"
"6261","14","22/07/2018","15:59","Bahia","Vitoria","4-2-3-1","4-2-3-1","E. Alves Moreira","V. Carmo Mancini","Bahia","Itaipava Arena Fonte Nova","4","1","BA","BA"
"6258","14","22/07/2018","16:00","Vasco","Gremio","4-2-3-1","4-2-3-1","J. de Amorim Campos","Renato Gaúcho","Vasco","Estádio Vasco da Gama","1","0","RJ","RS"
"6262","14","22/07/2018","16:00","Sport","Fluminense","4-1-4-1","4-3-2-1","C. dos Santos Oliveira","M. de Oliveira Santos","Fluminense","Adelmar da Costa Carvalho","1","2","PE","RJ"
"6259","14","22/07/2018","16:01","Palmeiras","Atletico-MG","4-2-3-1","4-2-3-1","R. Machado Marques","T. Mendes Larghi","Palmeiras","Allianz Parque","3","2","SP","MG"
"6260","14","22/07/2018","16:01","Parana","America-MG","4-1-4-1","4-3-3","Ademir Fesan","S. Drubscky de Campos","Parana","Vila Capanema","1","0","PR","MG"
"6263","14","22/07/2018","18:59","Cruzeiro","Athletico-PR","4-2-3-1","4-2-3-1","L. Venker de Menezes","T. Retzalff Nunes","Cruzeiro"," Mineirão","2","1","MG","PR"
"6264","14","22/07/2018","19:01","Chapecoense","Santos","4-1-4-1","4-2-3-1","G. Kleina","J. Ribeiro Ventura","-","Arena Condá","0","0","SC","SP"
"6265","14","23/07/2018","20:00","Internacional","Ceara","4-2-3-1","4-4-2","O. Hellmann","L. Cirne Lima de Lorenzi","Internacional","Estádio José Pinheiro Borda","1","0","RS","CE"
"6266","15","25/07/2018","19:30","Fluminense","Palmeiras","4-3-3","4-2-3-1","M. de Oliveira Santos","R. Machado Marques","Fluminense"," Maracanã","1","0","RJ","SP"
"6267","15","25/07/2018","21:00","Atletico-MG","Parana","4-3-3","4-1-4-1","T. Mendes Larghi","Ademir Fesan","Atletico-MG","Estádio Raimundo Sampaio","2","0","MG","PR"
"6268","15","25/07/2018","21:46","Corinthians","Cruzeiro","4-2-3-1","4-2-3-1","O. Loss","L. Venker de Menezes","Corinthians","Neo Química Arena","2","0","SP","MG"
"6269","15","25/07/2018","21:47","Santos","Flamengo","4-2-3-1","4-1-4-1","S. Bernardino","M. Nogueira Barbieri","-","Estádio Urbano Caldeira","1","1","SP","RJ"
"6270","15","26/07/2018","19:30","Botafogo-RJ","Chapecoense","4-3-3","4-1-4-1","M. Dias de Castro","G. Kleina","Botafogo-RJ","Estádio Nilton Santos","1","0","RJ","SC"
"6271","15","26/07/2018","19:30","Vitoria","Sport","4-2-3-1","4-2-3-1","V. Carmo Mancini","C. dos Santos Oliveira","Vitoria"," Barradão","1","0","BA","PE"
"6272","15","26/07/2018","19:30","Gremio","Sao Paulo","4-2-3-1","4-2-3-1","Renato Gaúcho","D. Aguirre Camblor","Gremio","Arena do Grêmio","2","1","RS","SP"
"6273","15","26/07/2018","20:00","America-MG","Internacional","4-2-3-1","4-2-3-1","A. Batista","O. Hellmann","America-MG","Estádio Raimundo Sampaio","2","1","MG","RS"
"6276","16","28/07/2018","16:01","Ceara","Fluminense","4-2-3-1","4-2-3-1","L. Cirne Lima de Lorenzi","M. de Oliveira Santos","Ceara","Estádio Presidente Vargas","1","0","CE","RJ"
"6277","16","29/07/2018","11:00","Palmeiras","Parana","4-2-3-1","4-1-4-1","L. Scolari","Ademir Fesan","Palmeiras","Allianz Parque","3","0","SP","PR"
